output,id
MIS,"55960276134365344, 55960382353905048, 55960399695584400, 55960737941282760, 55960756278560144, 55961024098161912, 55961135468382720, 55961249884185848, 55961305850626528, 55961693531355240, 55961759053044128, 55961826428071736, 55962276918559112, 55962816001183992, 55962835737801912, 55962935135949728, 55962988537266280, 55963220500118272, 55963360628569848, 55963744826021664, 55964450516982128, 55964479338490616, 55964498822367936, 55964846423580304, 55965108457629592, 55965136400383680, 55965500162485040, 55965633775385112, 55965733786515152, 55965976480540832, 55966070179239384, 55966331144724560, 55966430228717736, 55966578557879600, 55966914247776336, 55966924343257464, 55967290370694112, 55968137367055504, 55969123485558416, 55969582626953640, 55969670513949272, 55970177885211208, 55970246337733064, 55970384320522896, 55970411480586208, 55979364583450064, 55979442601787616, 55979596760992136, 55979643579014856, 55980193157864160, 55980485003920240, 55980658674185408, 55980907903365096, 55981059556925256, 55981794212267008, 55982007451713368, 55982778712048200, 55982847724276664, 55983217644515768, 55983673886252008, 55984231516503488, 55984250312217728, 55984341696506952, 55984353955675960, 55984734145274392, 55984788815728544, 55985083352598864, 55985126319589048, 55985254197043544, 55985474560568296, 55985781831687712, 55986018085445424, 55986538163801352, 55986574374078064, 55986729513173208, 55986820897914368, 55987280946680240, 55987539686702808, 55987562448592384, 55987941826267592, 55988355184247040, 55988372848793864, 55988457320247696, 55988598310375080, 55988763068916536, 55988769681384672, 55989033129818888, 55989061395739752, 55989116709217656, 55989352199914952, 55989395233590032, 55989663790793152, 55989803801837992, 55990378369193592, 55990440942318184, 55990754921717552, 55990791940743184, 55990841794353800, 55990884986572304, 55991119677445056, 55991142404810400, 55992074793780640, 55992098319279840, 55992183126373640, 55992261825338024, 55992663789582288, 55992723375942584, 55992751344069136, 55992813979230912, 55993098691291776, 55993877898124672, 55993890768053936, 55993987084303608, 55994017426407904, 55994059710025768, 55994163784783656, 55994185931666368, 55994259075925304, 55994264645915864, 55994365134434824, 55994592430842888, 55994654650392208, 55994674364081744, 55994707211822824, 55994719051785112, 55994719574079648, 55994793025189712, 55995858300717184, 55995903433651008, 55996303557413224, 55996394135154184, 55996412902000520, 55996413463663320, 55996426080507336, 55996428525246760, 55996457487500904, 55996470565536640, 55996703227316096, 55996715624953160, 55996829540902768, 55997154874122680, 55997341518860216, 55997355603633528, 55997469858654456, 55997572048819168, 55997685035460496, 55997806173535592, 55998157297776304, 55998199926786096, 55998271970049200, 55998431197796344, 55998448613228648, 55998567573546496"
MNS,NaN
MPLEXTV,"55961318412080568, 55961844601462488, 55964176354327792, 55964306286814408, 55964498955756520, 55965385956147000, 55965652200190536, 55965788058160800, 55965794911962544, 55966016580625432, 55968380029579648, 55969946592738328, 55978915929969880, 55979381166318216, 55979448407750392, 55979641546814744, 55980542932432536, 55980715589313272, 55981340352938200, 55982419603472616, 55982567710121336, 55983083059614056, 55983201745571648, 55985035683203440, 55985816932579536, 55986336996518264, 55986630805706072, 55986842737587272, 55986919136178688, 55986953132668784, 55987119713309848, 55987157650090056, 55987966909460824, 55988057149826072, 55988283243940840, 55988413049680840, 55988616640010600, 55989183673827152, 55989699726715792, 55990152215998768, 55990250838529152, 55990349492292224, 55990772173767776, 55991634690029968, 55992197668463448, 55992591146109176, 55992881396479744, 55993773854684280, 55993977910522544, 55994283384053328, 55994829645518464, 55995903305093184, 55995936664668352, 55996454458898488, 55996607942915832, 55996611704111424, 55996767862647608, 55997062748894832, 55997079888017224, 55997472104707816, 55998588472263792, 55998631872679968"
MQSM,55992911963254224
MSC,NaN
MSZZ,NaN
MZIP,"55994372068404000, 55996870022700168"
OTC,NaN
OYIM,"55960432892596360, 55982713179860056, 55984342099389088, 55984370615100160, 55990204145690416, 55992465764797512"
PASA,NaN
PLPL,NaN
PLZQ,"55962535613869720, 55962980634562208, 55966303428135848, 55969093599136712, 55979411406909376, 55980301032450648, 55981613361832944, 55982699945979808, 55983732893644176, 55986860798374056, 55986971422702856, 55986987201190912, 55987126312887376, 55988150749478872, 55988605135379480, 55989190691813056, 55990082161348808, 55991823270385264, 55992589867853128, 55992811822381872, 55992844881265664, 55993627684052496, 55993826301401712, 55993830501850024, 55993962668586920, 55994067506369968, 55994068965753208, 55994098556376800, 55994113654033656, 55994140403082992, 55994180927964368, 55994307834449000, 55994308150123120, 55994308355148864, 55994369939955576, 55994566905478840, 55994626895732904, 55994657196506248, 55994704727992280, 55995853943510976, 55996271944451184, 55996706257632936, 55997857258839840, 55998345907569208"
PLZS,"55962881829195720, 55962916197721248, 55965419662174200, 55966755928310704, 55980461696025400, 55981399218217120, 55982303550497992, 55985148785404592, 55985157973457112, 55985767259524208, 55986102931673416, 55987328313652328, 55989461917149480, 55992114770972104, 55992575895765504, 55993818021309944, 55994015534834968, 55994694863313544, 55995884017722088, 55996131764664280, 55996402535118744, 55996969214138120, 55998467032858944"
PREDG,NaN
SIQU,55982883490331624
SRTU,NaN
STAR,"55982185116592792, 55984645309602744, 55989451001970168, 55995942119840096, 55996497116226352, 55996529438911456"
STFR,"55968354626069752, 55970314345615832, 55986965024296392, 55989046699104496, 55991710738248256, 55994559001426360, 55996357411549696, 55996479398260928, 55996697423937032, 55997408927109400, 55997505253822968, 55997848043625440"
STKD,NaN
STKG,55963380300520896
STTK,55989411610458552
STYO,NaN
SUWS,NaN
